State,Trade_Type,Domestic_Mode,Unit,Year,Units_Within,Units_In,Units_Out
Illinois,Import,Truck,million ton-miles,2012,138.919614,4788.776671,262.874543
Illinois,Import,Water,million ton-miles,2012,139.342915,73.287325,1006.067922
Indiana,Domestic Only,Air (include truck-air),million ton-miles,2012,0.031507,26.869518,33.860133
Indiana,Domestic Only,Multiple modes & mail,million ton-miles,2012,205.194847,8997.391052,3970.589403
Indiana,Domestic Only,Pipeline,million ton-miles,2012,944.020812,23376.2804,9427.754118
Indiana,Domestic Only,Rail,million ton-miles,2012,1624.2364,30830.8648,16069.0593
Indiana,Domestic Only,Truck,million ton-miles,2012,9871.886236,34614.56739,37546.83761
Indiana,Domestic Only,Water,million ton-miles,2012,34.7786,3546.4921,5113.0937
Indiana,Export,Air (include truck-air),million ton-miles,2012,0.004732,1.685563,50.036882
Indiana,Export,Multiple modes & mail,million ton-miles,2012,11.9816,184.034664,1273.039231
Indiana,Export,Other and unknown,million ton-miles,2012,0.27943,0.007293,12.907946
Indiana,Export,Rail,million ton-miles,2012,0,7.0536,1165.472844
Indiana,Export,Truck,million ton-miles,2012,0.04271,0.003591,2050.867251
Indiana,Export,Water,million ton-miles,2012,0,17.986097,10.738071
Indiana,Import,Air (include truck-air),million ton-miles,2012,0.208258,24.554247,0.627566
Indiana,Import,Multiple modes & mail,million ton-miles,2012,0.05959,1608.418931,156.122299
Indiana,Import,Other and unknown,million ton-miles,2012,0.281466,11.726404,0.050225
Indiana,Import,Pipeline,million ton-miles,2012,0,9124.7106,0
Indiana,Import,Rail,million ton-miles,2012,0.000426,3860.684944,0.168049
Indiana,Import,Truck,million ton-miles,2012,0.251328,1850.889121,0.1013
Indiana,Import,Water,million ton-miles,2012,0.000003,16.769864,853.811829
Iowa,Domestic Only,Air (include truck-air),million ton-miles,2012,0,22.259121,19.56752
Iowa,Domestic Only,Multiple modes & mail,million ton-miles,2012,101.3214,1204.203469,12964.59979
Iowa,Domestic Only,Pipeline,million ton-miles,2012,24.8285,13797.0902,10718.3735
Iowa,Domestic Only,Rail,million ton-miles,2012,193.4224,37291.3239,32800.091
Iowa,Domestic Only,Truck,million ton-miles,2012,8960.336534,23709.86778,32708.90792
Iowa,Domestic Only,Water,million ton-miles,2012,6.4046,154.9168,2574.1094
Iowa,Export,Air (include truck-air),million ton-miles,2012,0.0005,0.009956,14.925256
Iowa,Export,Multiple modes & mail,million ton-miles,2012,0,0,856.852715
Iowa,Export,Other and unknown,million ton-miles,2012,0,0,1.1748
Iowa,Export,Rail,million ton-miles,2012,0,0,5066.471612
Iowa,Export,Truck,million ton-miles,2012,0.003212,0,2374.291824
Iowa,Export,Water,million ton-miles,2012,0,0,61.449564
Iowa,Import,Air (include truck-air),million ton-miles,2012,0.003828,18.666452,0.062585
Iowa,Import,Multiple modes & mail,million ton-miles,2012,0.0016,563.767384,0
Iowa,Import,Other and unknown,million ton-miles,2012,0.001629,13.17491,0.0078
Iowa,Import,Pipeline,million ton-miles,2012,0,4268.3584,0
Iowa,Import,Rail,million ton-miles,2012,0,1669.690862,0
Iowa,Import,Truck,million ton-miles,2012,0.023828,803.728667,0
Iowa,Import,Water,million ton-miles,2012,0,144.209938,0
Kansas,Domestic Only,Air (include truck-air),million ton-miles,2012,0.052996,17.910744,30.785608
Kansas,Domestic Only,Multiple modes & mail,million ton-miles,2012,17.339406,1494.042179,10734.80372
Kansas,Domestic Only,Pipeline,million ton-miles,2012,946.1166,18131.01142,11774.0729
Kansas,Domestic Only,Rail,million ton-miles,2012,93.4918,20971.6361,23704.4602
Kansas,Domestic Only,Truck,million ton-miles,2012,10614.2587,25286.42911,23033.65571
Kansas,Domestic Only,Water,million ton-miles,2012,0,0,14.0408
Kansas,Export,Air (include truck-air),million ton-miles,2012,0.051335,0.041238,12.539397
Kansas,Export,Multiple modes & mail,million ton-miles,2012,0,0,622.944579
Kansas,Export,Other and unknown,million ton-miles,2012,1.221143,0,4.2321
Kansas,Export,Pipeline,million ton-miles,2012,0,0,1.552223
Kansas,Export,Rail,million ton-miles,2012,0,0,4913.83313
Kansas,Export,Truck,million ton-miles,2012,0.002806,0,1970.673729
